catalog_id,artist,title,price,quantity
AP14043,1/2 Skitso presents: The Gov't Hustlas,Sub Soil Navigating,15.00,2
AP14037,12 A Klok,Cut Throat Status,15.00,2
AP12000,Al Husky,Al Beezy,12.00,8
AP12002,Al Husky,Al Husky,12.00,9
AP12001,Al Husky,Fully Blown,12.00,8
AP12161,Art Laboe,Dedicated to You Vol.1,11.90,2
AP12168,Art Laboe,Dedicated to You Vol.11,11.90,2
AP12162,Art Laboe,Dedicated to You Vol.2,11.90,2
AP12163,Art Laboe,Dedicated to You Vol.3,11.90,2
AP12164,Art Laboe,Dedicated to You Vol.4,11.90,2
AP12165,Art Laboe,Dedicated to You Vol.5,11.90,2
AP12166,Art Laboe,Dedicated to You Vol.6,11.90,2
AP12167,Art Laboe,Dedicated to You Vol.9,11.90,2
AP12305,Art Laboe,Oldies But Goodies Vol. 1,11.90,2
AP12360,Art Laboe,Oldies But Goodies Vol. 10,11.90,2
AP12361,Art Laboe,Oldies But Goodies Vol. 11,11.90,2
AP12362,Art Laboe,Oldies But Goodies Vol. 12,11.90,2
AP12363,Art Laboe,Oldies But Goodies Vol. 13,11.90,2
AP12364,Art Laboe,Oldies But Goodies Vol. 14,11.90,2
AP12365,Art Laboe,Oldies But Goodies Vol. 15,11.90,2
AP12352,Art Laboe,Oldies But Goodies Vol. 2,11.90,2
AP12353,Art Laboe,Oldies But Goodies Vol. 3,11.90,2
AP12354,Art Laboe,Oldies But Goodies Vol. 4,11.90,2
AP12355,Art Laboe,Oldies But Goodies Vol. 5,11.90,2
AP12356,Art Laboe,Oldies But Goodies Vol. 6,11.90,2
AP12357,Art Laboe,Oldies But Goodies Vol. 7,11.90,2
AP12358,Art Laboe,Oldies But Goodies Vol. 8,11.90,2
AP12359,Art Laboe,Oldies But Goodies Vol. 9,11.90,2
AP14018,Automacc,Call Of Duty,15.00,30
AP12005,Beeda Weeda,"Mack'n, Trap'n & Rap'n Vol. 2",12.00,21
AP14002,Big LA,The Kush II,15.00,2
AP12011,Black C,70's Baby,12.00,3
AP12012,Black C,City of Gods,12.00,4
AP12010,Black C,Still Ruthless,12.00,2
AP14001,Black Mafia Family,Respect The Unexpected,17.00,2
AP12187,Black Mikey,Premeditated Music,15.75,39
AP12189,Bossman Hogg,Hoggs Breath,15.75,49
AP12170,Brenton Wood,18 Best of Brenton Wood,11.90,2
AP12344,BROTHA LYNCH HUNG,24 DEEP,21.00,3
AP12347,BROTHA LYNCH HUNG,"APPEARANCES, BOOK 1",21.00,5
