catalog_id,artist,title,price,quantity
AP13058,RBL POSSE ,20TH ANNIVERSARY 2 DISC,0.00 ,0
AP14040,Shady Nate,Mobb Marley 2,0.00 ,0
AP14042,Psycho Soul ,Rare Oldies,0.00 ,4
AP12211,Mr. Knightowl,Armed And Dangerous,0.00 ,10
AP12045,Ms. Krazie,Smile Now Cry Later,0.00 ,4
AP12210,Ms. Krazie,Brown Is Beautiful,0.00 ,4
AP12061,Ms. Krazie,Firme Homegirl Oldies ,0.00 ,4
AP12077,Payaso,True Blue,0.00 ,6
AP10034,Payaso,Hit List 2,0.00 ,1
AP12348,Sangre Mala,Seguimos Representando ,0.00 ,5
AP12351,South Park Mexican,When Devils Strike,0.00 ,5
AP12202,South Park Mexican,Last Chair Violinist,0.00 ,7
AP12207,Spanky Loco,Superior Album,0.00 ,3
AP12206,Spanky Loco,Tirando Y Rifando 2,0.00 ,5
AP12048,Stomper,New Testament,0.00 ,9
AP12059,Stomper,Once Upon A Time in America 2,0.00 ,9
AP12203,Stomper,Once Upon A Time in America 1,0.00 ,9
AP12231,Stomper & Spanky Loc,Everybody Killa,0.00 ,9
AP12042,Estilo Sureno,Blue Raggin Surenos,0.00 ,9
AP12044,Teen Angels,Sureno Style,0.00 ,9
AP12217,The Dogg Pound,That Was Then This Is Now,0.00 ,9
AP12340,The Dogg Pound,100 Ways,0.00 ,6
AP12034,Brotha Lynch Hung,Ripgut Collection II,0.00 ,9
AP12076,Brotha Lynch Hung,Now Eat,0.00 ,10
AP12219,Brotha Lynch Hung,Ripgut Collection I (2Cd),0.00 ,5
AP12341,Brotha Lynch Hung,Season Of Da Siccness,0.00 ,0
AP12342,Brotha Lynch Hung,Loaded,0.00 ,5
AP12343,Brotha Lynch Hung,Ebk 4,0.00 ,3
AP12344,Brotha Lynch Hung,24 Deep,0.00 ,5
AP12345,Brotha Lynch Hung,Best Of Brotha Lynch Hung,0.00 ,3
AP12346,Brotha Lynch Hung,Virus,0.00 ,5
AP12347,Brotha Lynch Hung,"Appearances, Book 1",0.00 ,5
AP12033,California Bear Gang,Takeover,0.00 ,10
AP12230,Capone,Raza For Life,0.00 ,5
AP12049,Charlie Row Campo,Eastside Classics,0.00 ,8
AP12052,Charlie Row Campo,Street Scriptures,0.00 ,10
AP12226,Charlie Row Campo,California Boys,0.00 ,10
AP12194,Charlie Row Campo,Danger Zone,0.00 ,10
AP12196,Charlie Row Campo,For The Streets,0.00 ,0
AP122260,Charlie Row Campo,Camponeros,0.00 ,3
AP12228,Charlie Row Campo,Gang Tapes ,0.00 ,7
AP12229,Charlie Row Campo,Stop Studio Gangsters Vol. 2,0.00 ,8
AP12233,Charlie Row Campo,Southern Gang Violence,0.00 ,9
AP12043,Conejo,Best Of Conejo,0.00 ,5
AP12197,Conejo,Dead End Gangster,0.00 ,6
AP12225,Conejo,City Of Los Angeles Volume 2,0.00 ,9
AP12234,Conejo,Game Over,0.00 ,9
AP12093,Cuete,"Love Stories, The Mix Tape",0.00 ,4
AP12036,Cuete & Duce,2nd Time Around,0.00 ,5
AP12091,Cuete Yeska,Round Towne Music  Redondo,0.00 ,10
AP12041,Cuete Yeska & Hit Squad,10 Year Anniversary,0.00 ,10
AP12037,Daz Dillinger,Witit Witit,0.00 ,8
AP12812,Daz Dillinger,D.A.Z.,0.00 ,10
