catalog_id,artist,title,quantity
AP12211,Mr. Knightowl,Armed And Dangerous,10
AP12045,Ms. Krazie,Smile Now Cry Later,4
AP12046,Ms. Krazie,Brown Is Beautiful,4
AP12061,Ms. Krazie,Firme Homegirl Oldies ,4
AP12077,Payaso,True Blue,6
AP10034,Payaso,Hit List 2,1
AP12348,Sangre Mala,Seguimos Representando ,5
AP12351,South Park Mexican,When Devils Strike,5
AP12202,South Park Mexican,Last Chair Violinist,7
AP12207,Spanky Loco,Superior Album,3
AP12048,Stomper,New Testament,9
AP12059,Stomper,Once Upon A Time in America 2,9
AP12203,Stomper,Once Upon A Time in America 1,9
AP12231,Stomper & Spanky Loc,Everybody Killa,9
AP12042,Estilo Sureno,Blue Raggin Surenos,9
AP12044,Teen Angels,Sureno Style,9
AP12217,The Dogg Pound,That Was Then This Is Now,9
AP12340,The Dogg Pound,100 Ways,6
AP12034,Brotha Lynch Hung,Ripgut Collection II,9
AP12076,Brotha Lynch Hung,Now Eat,10
AP12219,Brotha Lynch Hung,Ripgut Collection I (2Cd),5
AP12341,Brotha Lynch Hung,Season Of Da Siccness,0
AP12342,Brotha Lynch Hung,Loaded,5
AP12343,Brotha Lynch Hung,Ebk 4,3
AP12344,Brotha Lynch Hung,24 Deep,5
AP12345,Brotha Lynch Hung,Best Of Brotha Lynch Hung,3
AP12346,Brotha Lynch Hung,Virus,5
AP12347,Brotha Lynch Hung,"Appearances, Book 1",5
AP12033,California Bear Gang,Takeover,10
AP12230,Capone,Raza For Life,5
AP12049,Charlie Row Campo,Eastside Classics,8
AP12052,Charlie Row Campo,Street Scriptures,10
AP12060,Charlie Row Campo,California Boys,10
AP12194,Charlie Row Campo,Danger Zone,10
AP12196,Charlie Row Campo,For The Streets,9
AP12204,Charlie Row Campo,Camponeros,3
AP12228,Charlie Row Campo,Gang Tapes ,7
AP12229,Charlie Row Campo,Stop Studio Gangsters Vol. 2,8
AP12233,Charlie Row Campo,Southern Gang Violence,9
AP12043,Conejo,Best Of Conejo,5
AP12197,Conejo,Dead End Gangster,6
AP12225,Conejo,City Of Los Angeles Volume 2,9
AP12234,Conejo,Game Over,9
AP12222,Cuete,"Love Stories, The Mix Tape",4
AP12036,Cuete & Duce,2nd Time Around,5
AP12041,Cuete Yeska & Hit Squad,10 Year Anniversary,10
AP12037,Daz Dillinger,Witit Witit,8
AP12181,Daz Dillinger,Public Enemiez,10
AP12182,Daz Dillinger,Matter Of Dayz,9
AP12214,Dpg,Keep On Ridin,10
AP12215,Dpg,Who Ride Wit Us Volume 4,10
AP12218,Ese Lil Joker,Most Wanted,10
AP12078,Lil Blacky & Lil Sicko,Southland Ballin,5
AP12183,Damafiamu,Damuzik,41
AP12184,Damafiamu,Bleedin The Block,43
AP12188,Damafiamu,The Cherry Chuck Gang,31
AP14028,Damafiamu ,Tha Linckolns - Gods Green Earth,18
AP12187,Black Mikey,Premeditated Music,41
AP12189,Bossman Hogg,Hoggs Breath,52
AP12192,Young Reef,Red October,48
AP14058,Don Diego  ,Red Everything,47
AP14028,Don Diego  ,Gods Green Earth,18
AP14011,The Regime,The Last Dragon,2
AP14101,J. Stalin ,Down To The Wire,1
AP14102,Stevie Joe,Live On The Wire,3
AP12005,Beeda Weeda,"Mack'n, Trap'n & Rap'n Vol. 2",20
AP14057,The Hustlers Club,Connected Inc,9
AP14100,Lil Coner,Day Of The Dead,12
AP120091,Lee Majors,The Six Million Dollar Man,5
AP14014,Dean Green ,What I'm Saying Is...,4
AP12006,Lee Majors,D-Boy Muzik,2
AP12007,Lee Majors,The Gobots 2,1
AP14013,Lee Majors,What Mobsters Do...,5
AP14012,Lee Majors and Boss Tone,Next Day Air,5
AP120090,Lee Majors,Ace Of Cake 3: The Kush Pack,5
AP13057,Lil Spank Booty,Early Release,18
